"is_profitable","EMA_diff","SMA_diff"
"UNPROFITABLE",1.1392374998413288,0.17200000000013915
"PROFITABLE",-1.0698388514935004,-0.7290000000000418
"UNPROFITABLE",0.027404576050798823,4.9650000000001455
"PROFITABLE",-0.7639417105040138,-4.325000000000273
"UNPROFITABLE",-1.1248613995031747,-2.74899999999991
"UNPROFITABLE",-2.5425243878571564,-3.399000000000001
"UNPROFITABLE",-2.316792680974004,-1.3010000000000446
"UNPROFITABLE",-1.0148281583379912,2.675999999999931
"UNPROFITABLE",-1.2966775840947093,-2.564999999999941
"PROFITABLE",-13.097271511904523,-21.859000000000037
"PROFITABLE",-11.131811972503442,-12.488999999999919
"PROFITABLE",-5.813333340221675,0.3649999999998954
"UNPROFITABLE",3.36162237796259,9.043999999999869
"PROFITABLE",3.382418309242098,3.4760000000001128
